chapter,path,title,Attachments,Status,image,url,province
0,beeld-and-geluid,"p. 2
Beeld and Geluid: Knowledge Sources",,,/images/ch0/meneeruil.webp,https://www.beeldengeluid.nl/en/knowledge/sources,
4,tabakscultuur-in-deli,"p. 119
Tabakscultuur in Deli
",,,https://img.youtube.com/vi/FskcYtGL27I/hqdefault.jpg,https://www.youtube.com/watch?v=FskcYtGL27I,
4,pest-op-java,"p. 126
Pest op Java ",,,https://img.youtube.com/vi/9M7i2Vbtaj4/hqdefault.jpg,https://www.youtube.com/watch?v=9M7i2Vbtaj4&t=30s,
4,tabakscultuur-op-midden-java,"p. 135
De Tabakscultuur op Midden Java ",,,http://img.youtube.com/vi/o3-gFcKkmuM/hqdefault.jpg,https://www.youtube.com/watch?v=o3-gFcKkmuM&t=214s,
5,flores-film,"p. 147
Flores Film ",,,http://img.youtube.com/vi/UVGuQrh2BUk/hqdefault.jpg,https://www.youtube.com/watch?v=UVGuQrh2BUk&t=4s,
5,eddy-appels-faraway,"p. 148
Eddy Appels, ‘Faraway Places and Exotic Cultures in a Movie Mission’, Cultuur Wijzer ",,,/images/ch5/cultuurwijzer.webp,https://static.kunstelo.nl/ckv2/cultuurwijzer/cultuurwijzer/www/cultuurwijzer.nl/cultuurwijzer.nl/i000741.html,
5,bali-floti,"p. 161
Bali-Floti ",,,http://img.youtube.com/vi/5e1R3xxIBl4/hqdefault.jpg,https://www.youtube.com/watch?v=5e1R3xxIBl4&t=3863s,
5,nanook-of-the-north-2,"p. 170
Nanook of the North ",,,http://img.youtube.com/vi/lkW14Lu1IBo/hqdefault.jpg,https://www.youtube.com/watch?v=lkW14Lu1IBo,
5,ria-rago,"p. 179
Ria Rago ",,,http://img.youtube.com/vi/vDiLhFJvkqE/maxresdefault.jpg,https://www.youtube.com/watch?v=vDiLhFJvkqE,
5,rahman-lembah,"p. 180
Lisabona Rahman, ‘Lembah Ndona di Dunia Maya: Roman Adat-Relijius ala Flores tahun 1930-an’, Film Indonesia, Oct. 2013 ",,,/images/ch5/filmindonesia.webp,http://filmindonesia.or.id/article/lembah-ndona-di-dunia-maya-roman-adat-relijius-ala-flores-tahun-1930-an#.U6W_ so2SzCl,
5,alsem-rawana,"p. 189
Rawana (Figure 49), made in 1932 by Henk Alsem ",,,http://img.youtube.com/vi/OVYKanklrCk/maxresdefault.jpg,https://www.youtube.com/watch?v=OVYKanklrCk&t=2176s,
6,eye-filmmuseum,"p. 193
EYE Filmmuseum YouTube Channel for the NEI collection ",,,http://img.youtube.com/vi/5EoCnc5z2mQ/maxresdefault.jpg,https://www.youtube.com/embed/videoseries?list=PLQr5oaajRw8MElYwKeB3AjT23dVTOa3kH,
6,indonesia-tempo-doeloe,"p. 194
Facebook Group: INDONESIA TEMPO DOELOE ",,,/images/ch5/indonesiatempodoeloe.webp,https://www.facebook.com/groups/indonesiatempodoeloe/,
6,vaessen-apology,"p. 195
Step Vaessen, ‘Indonesians to Receive Dutch Apology’, Al Jazeera, 11 Sept. 2013",,,http://img.youtube.com/vi/_pzeHf-pD84/maxresdefault.jpg,https://www.youtube.com/watch?v=_pzeHf-pD84,
0,ourousoff-heaven-hell-purgatory,"p. 1 
Nicolai Ouroussoff, ‘Heaven, Hell and Purgatory, Encased in Glass’, New York Times, 26 May 2007",,,/images/ch0/heavenhellpurgatory.webp,https://www.nytimes.com/2007/05/26/arts/design/26visi.html,
0,hendriks-voorbeeldige-kolonie,"p. 3
G.A. Jansen Hendriks: Een voorbeeldige kolonie: Nederlands-Indië in 50 jaar overheidsfilms, 1912-1962",,,/images/ch0/eenvoorbeeldigekolonie.webp,https://dare.uva.nl/search?identifier=c5e4aa22-6ec6-493f-a680-81b244c33897,
0,holland-neutraal,"p 14. 
Holland Neutraal: Leger en Vlootfilm [Holland Neutral: The Army and Fleet]",https://dl.airtable.com/.attachments/7e0bcb7dfb0908079715e2d9618b36c7/224975c4/ScreenShot2022-07-31at17.29.21.png,,,https://www.youtube.com/watch?v=YAI7IK5bTsE,
2,eyes-across-water,"p. 46 ‘Eyes Across the Water’ Visual Anthropology Conference, Amsterdam",https://dl.airtable.com/.attachments/03a4e29a680c89bae42f2422592db5c0/b196347d/1449364744_0_x.jpg,,,,
2,forgasc-eye,"p. 49
Peter Forgasc’s exhibition at the EYE in 2013 titled ‘Looming Fire: Stories from the Dutch East Indies 1900–1940’. Forgasc appropriated home movies and other personal documents for this installation, aiming to recreate a semblance of daily life of Europeans in the Netherlands East Indies, but he admitted that he took artistic and personal licences: ‘I make compositions on the basis of the material I have found. They are personal interpretations of history, not documentaries aiming at objectivity’ (Forgasc 2013).",,,/images/ch2/loomingfire.webp,http://forgacspeter.hu/english/installations/Looming+Fire/83,
4,holland-neutraal-mullens,"p. 117 
Holland Neutraal: Leger en Vlootfilm by Willy Mullens",,,http://img.youtube.com/vi/YAI7IK5bTsE/hqdefault.jpg,https://www.youtube.com/watch?v=YAI7IK5bTsE,
4,mullens-rubber-film,"p. 118 R
Rubber Film by Willy Mullens",,,http://img.youtube.com/vi/Em19huXPBbw/maxresdefault.jpg,https://www.youtube.com/embed/Em19huXPBbw?start=477,
4,mullens-uit-mijn-gulden-boek,"Willy Mullens, Enkele Pagina’s Uit Mijn Gulden Boek (Den Haag: Staatsdrukkerij, 1929)",,,/images/ch4/mullensguldenbook.webp,https://dl.airtable.com/.attachments/89df37a5643edecb44d5d54536bf7fe8/24f3504f/mullensguldenbook.pdf,
4,tideman-kolonisate,"p 130
Tideman: Kolonisate",,,/images/ch4/tideman.webp,https://dl.airtable.com/.attachments/7045f3a290d2a0143d67f55e310b1590/fa8dc541/Tideman.pdf,
0,polygoon-ad,"p. 18
Polygoon advertisement ",https://dl.airtable.com/.attachments/28047811cac1283a9b249890b2a17b89/effd8390/polygoonad.png,,,,
5,bali-floti-booklet,"p. 161
Bali-Floti booklet page",,,,,